;CELL SUSPENSION ID (Required);CELL SUSPENSION NAME;CELL SUSPENSION DESCRIPTION;SOURCE TISSUE ID;NCBI TAXON ID (Required);GENUS SPECIES (Required);SPECIES ONTOLOGY ID;SPECIES ONTOLOGY LABEL;ESTIMATED CELL COUNT;WELL LABEL;PLATE LABEL;SELECTED CELL TYPE;CELL TYPE ONTOLOGY ID;CELL TYPE ONTOLOGY LABEL;BIOSAMPLES ID;INSDC BIOMATERIAL ID;DISSOCIATION PROTOCOL ID;ENRICHMENT PROTOCOL ID;CELL MORPHOLOGY;CELL SIZE;CELL SIZE UNIT;LENGTH UNIT ONTOLOGY ID;LENGTH UNIT ONTOLOGY LABEL;GENOTYPE;SUPPLEMENTARY FILES
;A unique ID for the biomaterial.;A short, descriptive name for the biomaterial that need not be unique.;A general description of the biomaterial.;The unique Tissue ID of the tissue this cell suspension was derived from.;A taxonomy ID (taxonID) from NCBI.;The name of the species to which the organism belongs.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Total estimated number of cells in the suspension.;;;The name of a cell type supplied by a user.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;A BioSamples ID.;An International Nucleotide Sequence Database Collaboration (INSDC) sample accession.;An ID of a Dissociation protocol used to generate this cell suspension.;An ID of an Enrichment protocol used to generate this cell suspension.;General description of the morphology of cells.;Size of cells in Cell size unit.;The name of a length unit being used.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Genotype of the biomaterial.;A list of filenames of biomaterial-level supplementary files.
;;;;Use a Tissue ID you already provided in the Tissue Tab.; For example: 9606;" For example: Homo sapiens; Mus musculus";" For example: NCBITaxon:9606; NCBITaxon:10090";" For example: Homo sapiens; Mus musculus";Enter 1 for well-based assays. For example: 2100;;;" For example: bone marrow hematopoietic cell; cardiac muscle cell";" For example: CL:1001610; CL:0000746";" For example: bone marrow hematopoietic cell; cardiac muscle cell";Enter ID if sample has been archived. ID can be from the DDBJ, NCBI, or EMBL-EBI and must start with SAMD, SAMN, or SAME, respectively. For example: SAMN00000000;Enter accession if sample has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRS, SRS, or ERS, respecitvely. For example: SRS0000000;Use a Dissociation protocol ID you provided in the Dissociation protocol Tab.;Use an Enrichment protocol ID you provided in the Enrichment protocol Tab.;" For example: adherent cells; form single layer colonies";"Enter a single value or a range. Average value is acceptable. For example: 15; 20-30";" For example: micrometer; meter";" For example: UO:0000017; UO:0000008";" For example: micrometer; meter";" For example: DRB1 0401 protective allele; HLA-B*3901 allele";
cell_suspension.uuid;cell_suspension.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.biomaterial_name;cell_suspension.biomaterial_core.biomaterial_description;specimen_from_organism.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.ncbi_taxon_id;cell_suspension.genus_species.text;cell_suspension.genus_species.ontology;cell_suspension.genus_species.ontology_label;cell_suspension.estimated_cell_count;cell_suspension.plate_based_sequencing.plate_label;cell_suspension.plate_based_sequencing.well_label;cell_suspension.selected_cell_types.text;cell_suspension.selected_cell_types.ontology;cell_suspension.selected_cell_types.ontology_label;cell_suspension.biomaterial_core.biosamples_accession;cell_suspension.biomaterial_core.insdc_sample_accession;dissociation_protocol.protocol_core.protocol_id;enrichment_protocol.protocol_core.protocol_id;cell_suspension.cell_morphology.cell_morphology;cell_suspension.cell_morphology.cell_size;cell_suspension.cell_morphology.cell_size_unit.text;cell_suspension.cell_morphology.cell_size_unit.ontology;cell_suspension.cell_morphology.cell_size_unit.ontology_label;cell_suspension.biomaterial_core.genotype;cell_suspension.biomaterial_core.supplementary_files
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;;;;;;;;;;
0f9ea3ab-113b-4357-9656-f23e4b457936;Human_HC_1_colon_sample_cells;;Human healthy donor colon, stromal cells;Human_HC_1_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1919;;;stromal cell;CL:0000499;stromal cell;SAMN09204837;SRS3296611;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5c825e68-5cdf-4d25-919c-d2ca719dbae1;Human_HC_2_colon_sample_cells;;Human healthy donor colon, stromal cells;Human_HC_2_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;2459;;;stromal cell;CL:0000499;stromal cell;SAMN09204836;SRS3296612;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0c945bb8-213f-423f-8bb0-6a501541da5c;Human_UC_1_colon_sample_cells;;Human UC donor colon, stromal cells;Human_UC_1_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;2097;;;stromal cell;CL:0000499;stromal cell;SAMN09204845;SRS3296613;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b9df7fbc-6271-4bde-a524-6bfb97437135;Human_UC_2_colon_sample_cells;;Human UC donor colon, stromal cells;Human_UC_2_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;2806;;;stromal cell;CL:0000499;stromal cell;SAMN09204844;SRS3296614;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
88b5e68b-483c-4303-b8bd-3561ba03b46a;Mouse_HC_1_colon_sample_cells;;Mouse healthy colon, stromal cells;Mouse_HC_1_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;1258;;;stromal cell;CL:0000499;stromal cell;SAMN09204843;SRS3296616;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
0c4b7a3e-cafd-4b80-b97d-3d770080a7b4;Mouse_HC_2_colon_sample_cells;;Mouse healthy colon, stromal cells;Mouse_HC_2_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;1244;;;stromal cell;CL:0000499;stromal cell;SAMN09204842;SRS3296615;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
52987bd4-2136-49af-840a-560485ce6bd6;Mouse_HC_3_colon_sample_cells;;Mouse healthy colon, stromal cells;Mouse_HC_3_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;1258;;;stromal cell;CL:0000499;stromal cell;SAMN09204841;SRS3296617;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
f9861136-e469-4358-b0eb-f3b18a4b4fc9;Mouse_DSS_1_colon_sample_cells;;Mouse DSS-induced UC colon, stromal cells;Mouse_DSS_1_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;1394;;;stromal cell;CL:0000499;stromal cell;SAMN09204840;SRS3296619;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
85aad24e-8c89-4420-a7af-4425feeef7a8;Mouse_DSS_2_colon_sample_cells;;Mouse DSS-induced UC colon, stromal cells;Mouse_DSS_2_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;909;;;stromal cell;CL:0000499;stromal cell;SAMN09204839;SRS3296618;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
c7f39c01-1702-4039-ab63-2a3a2568e5fc;Mouse_DSS_3_colon_sample_cells;;Mouse DSS-induced UC colon, stromal cells;Mouse_DSS_3_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;1188;;;stromal cell;CL:0000499;stromal cell;SAMN09204838;SRS3296620;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
39e65cd8-0ef0-4961-9fcd-e1e1837a6f03;GSM2513735_C1;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C1;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467472;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ce5b9270-1306-4fe9-871f-04bf3723b544;GSM2513607_C10;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C10;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466427;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
e4261114-9e4a-4eed-a725-dabced888977;GSM2513751_C13;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C13;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467464;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
630336ee-5a11-4215-a13e-e314b8fc05ea;GSM2513623_C16;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C16;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466418;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1c218cfc-cf9f-43a1-8fc8-0ea51937b9ae;GSM2513722_C17;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C17;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467478;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
36e05130-c3a7-4b0d-8b80-fe3dd06f3f04;GSM2513672_C18;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C18;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466396;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2f21143e-0e88-4dbe-a025-3611eafe3c83;GSM2513767_C19;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C19;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467456;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b60124cc-d342-4f69-9781-ff26eb42a0b2;GSM2513651_C2;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C2;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466406;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b7ff30d8-5d0c-4773-a9bf-a850301e7ab5;GSM2513684_C20;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C20;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466390;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
15fda187-d20a-4f9c-a7de-441339bcbda0;GSM2513617_C21;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C21;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466422;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7f4a6519-ee2d-45ee-b8c3-554563239499;GSM2513739_C23;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C23;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467470;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
447ffdbc-e5d8-4083-97a2-12627f8377c6;GSM2513702_C26;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C26;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466382;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3abb372c-deb2-4874-8d6c-2dcfd4be8897;GSM2513755_C29;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C29;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467462;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
290117f1-da29-4d14-b0da-002db0e1d212;GSM2513583_C3;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C3;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466438;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1ce56c4c-d33f-46d8-8030-8a55e6f45065;GSM2513718_C32;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C32;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467480;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
9e53b4ca-dd48-4256-8d45-ed0253875217;GSM2513689_C34;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C34;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466388;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d48515ee-b614-4ec3-b913-584524432bf8;GSM2513572_C35;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C35;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466445;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
9624c038-f257-46ee-ab53-4289b7f7a2a2;GSM2513641_C36;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C36;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466411;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
c98db57c-7f73-4685-9c75-9083e7b04e57;GSM2513634_C37;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C37;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466413;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
61b3b4eb-ac17-4104-8090-f2bee683aea7;GSM2513590_C41;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C41;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466435;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ef768021-e13d-4135-b4b8-f2fd424bfe91;GSM2513657_C42;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C42;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466403;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a1b547cb-5e1f-47c6-b9d4-280e0941bf14;GSM2513568_C45;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C45;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466440;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1e008533-9909-430e-a6ea-5c6692b8ecb7;GSM2513586_C49;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C49;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466437;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
73926fd0-4307-4e0b-bfb4-a1f1ff109704;GSM2513706_C5;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C5;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466380;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
514b69d3-5e73-436b-a835-58a80465a13c;GSM2513592_C53;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C53;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466434;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
c36f2db3-3996-4097-b7c3-520f22bd0abb;GSM2513602_C55;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C55;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466429;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
359126bc-2a96-4ba5-b48a-14e60b832275;GSM2513704_C56;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C56;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466381;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f10032e1-f8a9-4939-be70-187b9c913afe;GSM2513674_C58;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C58;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466395;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
4eddef0d-9a7b-4a3f-a5ac-a18869af5fd5;GSM2513609_C59;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C59;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466426;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f2221d41-05bb-4345-8bed-3635eca72976;GSM2513655_C6;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C6;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466404;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
d2f889b2-9e41-4bce-962a-631c1e070e01;GSM2513619_C61;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C61;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466421;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
4323935c-9c17-4dd5-97db-790a43f08fe3;GSM2513720_C62;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C62;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467479;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
e85ec1df-3fae-464a-a066-e3ea442e9eb2;GSM2513588_C63;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C63;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466436;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
67e21474-4752-4778-9733-b2f2b5b5d0dd;GSM2513691_C64;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C64;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466387;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
56e22946-f8f9-4313-8fe1-337bd51bcf83;GSM2513676_C66;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C66;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466394;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1f1afdc4-5d26-4455-adfa-4d4c0cad8954;GSM2513636_C67;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C67;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466419;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
07c01a85-e519-48f0-bf86-7b1315a378a4;GSM2513737_C68;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C68;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467471;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
8fbff758-6433-4c25-b185-6f900adecbd5;GSM2513708_C70;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C70;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467485;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
960d9152-d63d-4461-8154-f58d0ed4b510;GSM2513625_C71;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C71;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466417;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
51173f08-275d-4615-87a3-bf1495e1bef0;GSM2513605_C73;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C73;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466428;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
9d9f357a-6945-418a-9b12-e2ca062f8f3a;GSM2513753_C74;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C74;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467463;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
98e56818-cd14-4b60-a0dd-b4dab68b877e;GSM2513653_C75;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C75;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466405;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3f1a285a-6d4b-41f7-99cb-0d7610605a32;GSM2513694_C76;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C76;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466386;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
aea3d30b-2146-4a09-82d6-8b2128377e57;GSM2513643_C77;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C77;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466410;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f0765379-4523-4181-be9e-d57c49b66018;GSM2513725_C78;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C78;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467477;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
c710ec66-4656-44ce-8594-9c51f58847a6;GSM2513621_C79;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C79;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466420;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b9f780de-cde7-4b8c-80ca-6053a251bcd6;GSM2513668_C8;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C8;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466398;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
fd82bc9f-8fcb-4d42-9500-3958d6fce35d;GSM2513570_C80;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C80;20150702;stromal cell;CL:0000499;stromal cell;SAMN06466439;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
417ac9c3-77cf-469f-84a3-810b925b42ba;GSM2513741_C84;;Human healthy donor colon, stromal cell;Human_S1_healthy_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C84;20150702;stromal cell;CL:0000499;stromal cell;SAMN06467469;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
